gpcBrickCode,category
10006127,FRUITS_AND_VEGETABLES
10006128,FRUITS_AND_VEGETABLES
10006129,FRUITS_AND_VEGETABLES
10006130,FRUITS_AND_VEGETABLES
10006131,FRUITS_AND_VEGETABLES
10006133,FRUITS_AND_VEGETABLES
10006134,FRUITS_AND_VEGETABLES
10006135,FRUITS_AND_VEGETABLES
10006136,FRUITS_AND_VEGETABLES
10006137,FRUITS_AND_VEGETABLES
10006143,FRUITS_AND_VEGETABLES
10006144,FRUITS_AND_VEGETABLES
10006145,FRUITS_AND_VEGETABLES
10006146,FRUITS_AND_VEGETABLES
10006147,FRUITS_AND_VEGETABLES
10006148,FRUITS_AND_VEGETABLES
10006155,FRUITS_AND_VEGETABLES
10006157,FRUITS_AND_VEGETABLES
10006158,FRUITS_AND_VEGETABLES
10006159,FRUITS_AND_VEGETABLES
10006160,FRUITS_AND_VEGETABLES
10006161,FRUITS_AND_VEGETABLES
10006162,FRUITS_AND_VEGETABLES
10006163,FRUITS_AND_VEGETABLES
10006164,FRUITS_AND_VEGETABLES
10006165,FRUITS_AND_VEGETABLES
10006166,FRUITS_AND_VEGETABLES
10006167,FRUITS_AND_VEGETABLES
10006168,FRUITS_AND_VEGETABLES
10006169,FRUITS_AND_VEGETABLES
10006171,FRUITS_AND_VEGETABLES
10006172,FRUITS_AND_VEGETABLES
10006173,FRUITS_AND_VEGETABLES
10006190,FRUITS_AND_VEGETABLES
10006191,FRUITS_AND_VEGETABLES
10006192,FRUITS_AND_VEGETABLES
10006193,FRUITS_AND_VEGETABLES
10006194,FRUITS_AND_VEGETABLES
10006195,FRUITS_AND_VEGETABLES
10006196,FRUITS_AND_VEGETABLES
10006197,FRUITS_AND_VEGETABLES
10006198,FRUITS_AND_VEGETABLES
10006199,FRUITS_AND_VEGETABLES
10006200,FRUITS_AND_VEGETABLES
10006259,FRUITS_AND_VEGETABLES
10006260,FRUITS_AND_VEGETABLES
10006261,FRUITS_AND_VEGETABLES
10006262,FRUITS_AND_VEGETABLES
10006263,FRUITS_AND_VEGETABLES
10006264,FRUITS_AND_VEGETABLES
10006265,FRUITS_AND_VEGETABLES
10006266,FRUITS_AND_VEGETABLES
10006267,FRUITS_AND_VEGETABLES
10006268,FRUITS_AND_VEGETABLES
10006269,FRUITS_AND_VEGETABLES
10006270,FRUITS_AND_VEGETABLES
10006271,FRUITS_AND_VEGETABLES
10006272,FRUITS_AND_VEGETABLES
10006334,FRUITS_AND_VEGETABLES
10006335,FRUITS_AND_VEGETABLES
10006336,FRUITS_AND_VEGETABLES
10006337,FRUITS_AND_VEGETABLES
10006338,FRUITS_AND_VEGETABLES
10006339,FRUITS_AND_VEGETABLES
10006340,FRUITS_AND_VEGETABLES
10006341,FRUITS_AND_VEGETABLES
10006342,FRUITS_AND_VEGETABLES
10006343,FRUITS_AND_VEGETABLES
10006344,FRUITS_AND_VEGETABLES
10006345,FRUITS_AND_VEGETABLES
10006346,FRUITS_AND_VEGETABLES
10006347,FRUITS_AND_VEGETABLES
10006348,FRUITS_AND_VEGETABLES
10006349,FRUITS_AND_VEGETABLES
10006350,FRUITS_AND_VEGETABLES
10006351,FRUITS_AND_VEGETABLES
10006352,FRUITS_AND_VEGETABLES
10006353,FRUITS_AND_VEGETABLES
10006354,FRUITS_AND_VEGETABLES
10006355,FRUITS_AND_VEGETABLES
10006356,FRUITS_AND_VEGETABLES
10006357,FRUITS_AND_VEGETABLES
10006358,FRUITS_AND_VEGETABLES
10006359,FRUITS_AND_VEGETABLES
10006360,FRUITS_AND_VEGETABLES
10006361,FRUITS_AND_VEGETABLES
10006362,FRUITS_AND_VEGETABLES
10006363,FRUITS_AND_VEGETABLES
10006364,FRUITS_AND_VEGETABLES
10006365,FRUITS_AND_VEGETABLES
10006366,FRUITS_AND_VEGETABLES
10006367,FRUITS_AND_VEGETABLES
10006368,FRUITS_AND_VEGETABLES
10006369,FRUITS_AND_VEGETABLES
10006370,FRUITS_AND_VEGETABLES
10006371,FRUITS_AND_VEGETABLES
10006372,FRUITS_AND_VEGETABLES
10006414,FRUITS_AND_VEGETABLES
10006415,FRUITS_AND_VEGETABLES
10006416,FRUITS_AND_VEGETABLES
10006417,FRUITS_AND_VEGETABLES
10006418,FRUITS_AND_VEGETABLES
10006419,FRUITS_AND_VEGETABLES
10006420,FRUITS_AND_VEGETABLES
10006421,FRUITS_AND_VEGETABLES
10006422,FRUITS_AND_VEGETABLES
10006423,FRUITS_AND_VEGETABLES
10006424,FRUITS_AND_VEGETABLES
10006425,FRUITS_AND_VEGETABLES
10006426,FRUITS_AND_VEGETABLES
10006427,FRUITS_AND_VEGETABLES
10006428,FRUITS_AND_VEGETABLES
10006429,FRUITS_AND_VEGETABLES
10006430,FRUITS_AND_VEGETABLES
10006431,FRUITS_AND_VEGETABLES
10006432,FRUITS_AND_VEGETABLES
10006433,FRUITS_AND_VEGETABLES
10006434,FRUITS_AND_VEGETABLES
10006435,FRUITS_AND_VEGETABLES
10006436,FRUITS_AND_VEGETABLES
10006437,FRUITS_AND_VEGETABLES
10006438,FRUITS_AND_VEGETABLES
10006439,FRUITS_AND_VEGETABLES
10006440,FRUITS_AND_VEGETABLES
10006441,FRUITS_AND_VEGETABLES
10006442,FRUITS_AND_VEGETABLES
10006443,FRUITS_AND_VEGETABLES
10006444,FRUITS_AND_VEGETABLES
10006445,FRUITS_AND_VEGETABLES
10006446,FRUITS_AND_VEGETABLES
10006447,FRUITS_AND_VEGETABLES
10006449,FRUITS_AND_VEGETABLES
10006450,FRUITS_AND_VEGETABLES
10006451,FRUITS_AND_VEGETABLES
10006452,FRUITS_AND_VEGETABLES
10006453,FRUITS_AND_VEGETABLES
10006454,FRUITS_AND_VEGETABLES
10006455,FRUITS_AND_VEGETABLES
10006456,FRUITS_AND_VEGETABLES
10006457,FRUITS_AND_VEGETABLES
10006458,FRUITS_AND_VEGETABLES
10006459,FRUITS_AND_VEGETABLES
10006460,FRUITS_AND_VEGETABLES
10006461,FRUITS_AND_VEGETABLES
10006759,FRUITS_AND_VEGETABLES
10006760,FRUITS_AND_VEGETABLES
10006761,FRUITS_AND_VEGETABLES
10006823,FRUITS_AND_VEGETABLES
10006824,FRUITS_AND_VEGETABLES
10006825,FRUITS_AND_VEGETABLES
10006826,FRUITS_AND_VEGETABLES
10006827,FRUITS_AND_VEGETABLES
10006828,FRUITS_AND_VEGETABLES
10006829,FRUITS_AND_VEGETABLES
10006830,FRUITS_AND_VEGETABLES
10006831,FRUITS_AND_VEGETABLES
10006832,FRUITS_AND_VEGETABLES
10006833,FRUITS_AND_VEGETABLES
10006834,FRUITS_AND_VEGETABLES
10006835,FRUITS_AND_VEGETABLES
10006836,FRUITS_AND_VEGETABLES
10006866,FRUITS_AND_VEGETABLES
10006966,FRUITS_AND_VEGETABLES
10006967,FRUITS_AND_VEGETABLES
10006968,FRUITS_AND_VEGETABLES
10008002,FRUITS_AND_VEGETABLES
10008003,FRUITS_AND_VEGETABLES
10008004,FRUITS_AND_VEGETABLES
10008005,FRUITS_AND_VEGETABLES
10008027,FRUITS_AND_VEGETABLES
10008039,FRUITS_AND_VEGETABLES
10008040,FRUITS_AND_VEGETABLES
10008041,FRUITS_AND_VEGETABLES
10008188,FRUITS_AND_VEGETABLES
10008189,FRUITS_AND_VEGETABLES
10008190,FRUITS_AND_VEGETABLES
10008191,FRUITS_AND_VEGETABLES
10008192,FRUITS_AND_VEGETABLES
10008193,FRUITS_AND_VEGETABLES
10008194,FRUITS_AND_VEGETABLES
10008195,FRUITS_AND_VEGETABLES
10008196,FRUITS_AND_VEGETABLES
10008197,FRUITS_AND_VEGETABLES
10008198,FRUITS_AND_VEGETABLES
10008199,FRUITS_AND_VEGETABLES
10008200,FRUITS_AND_VEGETABLES
10008201,FRUITS_AND_VEGETABLES
10008202,FRUITS_AND_VEGETABLES
10008203,FRUITS_AND_VEGETABLES
10008204,FRUITS_AND_VEGETABLES
10008205,FRUITS_AND_VEGETABLES
10008206,FRUITS_AND_VEGETABLES
10008207,FRUITS_AND_VEGETABLES
10008208,FRUITS_AND_VEGETABLES
10008209,FRUITS_AND_VEGETABLES
10008210,FRUITS_AND_VEGETABLES
10008211,FRUITS_AND_VEGETABLES
10008212,FRUITS_AND_VEGETABLES
10008213,FRUITS_AND_VEGETABLES
10008214,FRUITS_AND_VEGETABLES
10008215,FRUITS_AND_VEGETABLES
10008216,FRUITS_AND_VEGETABLES
10008217,FRUITS_AND_VEGETABLES
